,country,percentage_data
0,POL,1.0
1,SEN,0.9608433734939759
2,BRN,0.9545454545454546
3,BRI,1.0
4,SMR,1.0
5,HUN,1.0
6,BRT,1.0
7,BWA,1.0
8,MAR,0.9448183041722745
9,OMN,0.833648393194707
10,GBR,0.6954248366013072
11,NLD,0.9112903225806451
12,CHL,0.8425245098039216
13,SAU,0.9764230380599529
14,CHN,0.9868493824125852
15,LTU,1.0
16,HND,0.912621359223301
17,FIN,0.993127147766323
18,DEU,1.0
19,EGY,0.9851301115241635
20,NPL,1.0
21,UZB,1.0
22,AUS,0.9406758448060075
23,FRA,0.9874686716791979
24,HRV,0.8967391304347826
25,AUT,1.0
26,BOL,1.0
27,IDN,0.5649368863955119
28,BGD,0.7992700729927007
29,TUN,0.8840125391849529
30,MWI,1.0
31,CAF,1.0
32,BGR,1.0
33,CAN,0.9258082121416418
34,DNK,1.0
35,AND,1.0
36,NIC,0.995475113122172
37,KHM,0.9899665551839465
38,TUR,0.9940119760479041
39,CIV,0.9620758483033932
40,GTM,1.0
41,LBR,0.8928571428571429
42,LBN,0.967741935483871
43,LUX,1.0
44,CRI,0.875
45,AFG,1.0
46,LBY,0.9748257164988381
47,MOZ,0.9179282868525896
48,LVA,0.9901960784313726
49,IMN,1.0
50,NAM,0.9502762430939227
51,PRK,0.843065693430657
52,PER,0.9388714733542319
53,CYP,0.5333333333333333
54,ABW,1.0
55,JOR,1.0
56,BDI,1.0
57,BLR,1.0
58,PRT,0.7541666666666667
59,TJK,1.0
60,GIB,1.0
61,NZL,0.5569044006069803
62,MLI,1.0
63,CZE,1.0
64,PRY,1.0
65,COG,0.9963570127504554
66,GIN,0.9187192118226601
67,BLZ,1.0
68,IND,0.956425702811245
69,MDA,1.0
70,RWA,1.0
71,COD,0.997583081570997
72,GAB,0.9535452322738386
73,UGA,1.0
74,ZAF,0.9778325123152709
75,MDG,0.8233404710920771
76,COL,0.9728453364817001
77,KAZ,0.991304347826087
78,IRQ,1.0
79,SYR,1.0
80,BEN,1.0
81,PSX,1.0
82,GRC,0.7114093959731543
83,TCD,1.0
84,LKA,0.9090909090909091
85,BEL,1.0
86,ALB,0.8933333333333333
87,TKM,0.9978448275862069
88,ROU,1.0
89,NGA,0.9780635400907716
90,LSO,1.0
91,GRL,0.950575490859851
92,ESB,0.6666666666666666
93,VNM,0.8865478119935171
94,BFA,1.0
95,MMR,0.9658792650918635
96,ISL,0.7976190476190477
97,GNQ,0.7166666666666667
98,SAH,0.891156462585034
99,SRB,1.0
100,CHE,1.0
101,ISR,0.9508196721311475
102,ZWE,1.0
103,SVN,1.0
104,MNE,1.0
105,NOR,0.8088822355289421
106,KOR,0.6680672268907563
107,MNG,1.0
108,THA,0.952755905511811
109,EST,0.8959537572254336
110,SVK,1.0
111,ITA,0.6926229508196722
112,KWT,1.0
113,ESP,0.8725023786869648
114,DZA,0.9926289926289926
115,MEX,0.9227173574322218
116,KOS,1.0
117,MRT,1.0
118,KGZ,1.0
119,JEY,1.0
120,LAO,1.0
121,CUW,1.0
122,PHL,0.5093582887700535
123,YEM,0.8899721448467967
124,ECU,0.7494145199063232
125,SWE,0.9172320217096337
126,ETH,1.0
127,ARE,1.0
128,MKD,1.0
129,ARG,0.976932668329177
130,AZE,0.9768518518518519
131,GGY,1.0
132,CMR,0.9945130315500685
133,DJI,1.0
134,ARM,1.0
135,SWZ,1.0
136,GHA,0.976
137,LIE,1.0
138,RUS,0.9568636749856739
139,SOM,0.8790650406504065
140,BTN,1.0
141,SGP,1.0
142,NER,1.0
143,URY,0.978328173374613
144,GMB,1.0
145,ZMB,1.0
146,MCO,1.0
147,PAN,0.8235294117647058
148,USA,0.9440591534931158
149,SLE,0.7222222222222222
150,GUF,0.8581560283687943
151,PAK,0.9832439678284183
152,DOM,0.6862745098039216
153,KEN,0.9930715935334873
154,IRL,0.6431924882629108
155,IRN,0.981084030556566
156,GUY,0.962536023054755
157,SDN,0.9940253920836445
158,PNG,0.639821029082774
159,SLV,1.0
160,ERI,0.9608695652173913
161,TZA,0.9956427015250545
162,GEO,0.9883040935672515
163,UKR,0.9804205946337926
164,AGO,0.9678474114441417
165,TWN,0.7674418604651163
166,SDS,1.0
167,VEN,0.9571428571428572
168,BIH,1.0
169,JPN,0.6522633744855967
170,MYS,0.8601036269430051
171,TGO,1.0
172,BRA,0.9906161767148314
173,SUR,0.9393939393939394
